Star Rating,Rating Text
1.0 out of 5 stars,"
  Love Love Love it came in perfect condition and it works perfect❤️❤️❤️❤️
"
4.3 out of 5 stars,"
  LOVE! THOUSAND TIMES LOVE! I was skeptical at first when selecting to buy this iPhone, I took time into reading all the comments and seeing as there was more positive reviews then negatives I went ahead and bought it. The entire phone is in BRAND NEW condition, no scratches or blemishes! The battery life was said to be 80% mine on this phone is 99% maximum capacity! I am very pleased with how well this turned out to be! I did however not rate the fingerprint ID because it is facial ID not fingerprint."
5.0 out of 5 stars,"I do recommend trying not to go through FedEx as they are crap.
"
1.0 out of 5 stars,"
  The phone was reported STOLEN AND WAS SHUT OFF BY ATT. THIS SELLER IS A SCAMMER. DO NOT BUY FROM THEM. Straight out of the box the phone had A LOT of scratches both on the screen and back of the phone. Pretty disappointed, knew the phone was coming at a discount but it’s basically already ready for a screen replacement. The phone itself is super glitchy, can’t even sign in to my WiFi on the next screen. It also does not come with any original box nor headphones. One after market, cheap phone charger included.
"
5.0 out of 5 stars,"
  Order two of these recently and both iPhones are bad. One doesn't connect to the network, and the other one's  microphone sounds like its underwater.... Buyers beware
"
5.0 out of 5 stars,"
  My iPhone 6 started having battery problems so I decided to replace  it. Was going to go to a new 7 or 8, but saw I could get a fully restored X on Amazon for about the same price. Easy to set up. I honestly feel like it’s a new phone. The first thing I checked was the battery health and it was 100%! Everything functions perfectly. Love the Face ID. Great camera and sound. Once you get used to no home button, you won’t miss it. Without it the screen fills the whole phone. So the overall phone size is not too big, but you get more screen size - a win win in my opinion. So far I am presently satisfied.
"
1.0 out of 5 stars,"
  Phone was said to be CDMA and GSM unlocked. It wasn’t. Called Verizon and Apple after being declined at sprint. I was told by Verizon that the phone was never in their system. I was also told by apple that the phone was locked but they wouldn’t say by who."
1.0 out of 5 stars,"I’m a pretty patient person however, I will admit it was a very frustrating experience."
5.0 out of 5 stars,"That being said I just feel like I got unlucky. Other reviewers phones seemed to work so, there’s that."
3.0 out of 5 stars,"The phone itself was in near flawless condition, even with 100% battery health."
4.0 out of 5 stars,"In totality, I’d still recommend getting the phone, if you don’t want to buy it directly from apple. ($10 more)"
4.0 out of 5 stars,"I was just unlucky.
"
5.0 out of 5 stars,"
  Great Deal for an almost new unlocked iPhone X. Mine had some scuff marks on the side of the phone and on the top. Please see my photos I’ve included.  But my phone case covers all the marks- so no worries. Mine had a battery life value of 85% which is OK, wish it were better. But it will do! It’s 100% UNLOCKED. It worked no problem for Metro PCS. (Cost me $15 to activate at metro) But so far NO ISSUES with this iPhone. I will come back and edit if I run into any issues. I’ve had this for about a month. Works great! Please hit the helpful button if this review helped you out! -Jess
"
5.0 out of 5 stars,"
  I have had the phone for several days now. Everything functions perfectly - camera, battery life, speakers, face recognition, etc., and it looks brand new. I read several reviews that mentioned that you can’t turn the camera click off - no problem here. And there was no issue getting it set up with our service provider (Sprint). When considering buying this phone based on reviews, consider a few things: this is hundreds of dollars cheaper than buying one new, Amazon’s return service is impeccable so if worst comes to worst, just return it and get another one, and also consider the fact that on average only roughly 10% of people even bother writing Amazon reviews and that a majority of the people leaving 1 star reviews probably wouldn’t have written a review at all if everything checked out like this phone did (I almost forgot to write a review myself). Then consider the fact that a majority of reviewers gave the phone 5 stars and you begin to see how if you’re interested in saving money this is an excellent route as you’re not likely going to do much better than this for the money.
"
5.0 out of 5 stars,"
  I was a lil skeptical about buying online but really happy I did the phone came one day early from what it sayed then it looked brand new with a screen protector already on it came with a fast charger really happy with the buy
"
5.0 out of 5 stars,"
  Product came with the following:"
1.0 out of 5 stars,iPhone X 64 gb Was unlocked & works great. Battery life 97%
4.3 out of 5 stars,"
  Battery dies in one hour in 3 months.
"
5.0 out of 5 stars,"
  My iPhone 5S performance was deteriorating and I decided to upgrade by getting this phone. I have Straight Talk by TracFone Inc. a GSM carrier, and received a refurbished iPhone X that was from Verizon and was able to insert my SIM card without any interruption of service. The only noticeable wear and tear on the iPhone I received was some marks that are barely noticeable on the touchscreen. Hopefully this helps anyone trying to decide if they should purchase this phone.
"
1.0 out of 5 stars,"
  the phone did not connect to my number. Everything else was correct but it would not connect so I had to send it back.
"
2.0 out of 5 stars,"
  The phone came in a simple box, with the cord and white charging adapter box."
5.0 out of 5 stars,FYI cannot use any other charging adapter with this phone.
1.0 out of 5 stars,The phone condition is excellent. Came with IOS 12 and had to update to the 13.*.* right away.
4.0 out of 5 stars,Set up was amazingly effortless from android to the iPhone with the proper apps installed on the android.
5.0 out of 5 stars,Had to call my carrier to add the phone to my account so it would work properly.  FYI my carrier requires unlimited DATA for the iPhone X.
1.0 out of 5 stars,The phone reception (connection to the cell towers an gsm is amazing).  It is better than my daughters iPhone X max.
5.0 out of 5 stars,Have not tried the fingerprint reader yet.
5.0 out of 5 stars,Face recognition works well no issues so far except in low light situations.  Guess that is to be expected.
1.0 out of 5 stars,The battery had a 30% charge when arrived.  It charged to 100% and worked well until it died 24 hours later.  It tends to get hot when using Bluetooth.  Will reach out and see if this is supposed to be happening.  Had an android blow up on me for over heating.
3.0 out of 5 stars,Update:
4.3 out of 5 stars,"
  Estimados el celular que compré no está liberado no puedo usarlo
"
5.0 out of 5 stars,"
  The screen has a very noticeable scratch on it. In addition, the battery health is at 83%, which is ridiculous considering this is a X and my 6S+ battery is still at 90%. I don't know what life this phone had before it came to me, but it certainly isn't in excellent condition. For what I paid, this phone is headed back.
"
1.0 out of 5 stars,"
  I purchased a Premium Renewed iPhone X. The item arrived in a shrink-wrapped Renewed branded box. There was a lot of information inside to help me understand more about the Amazon Renewed Guarantee which allows me to return this Premium item for up to one year if anything goes wrong. I've had the phone for two weeks now and love it. It might as well have been a brand new phone. Battery health is 100%. The camera is incredible (a BIG step up from my old 6S). I highly recommend this!
"
1.0 out of 5 stars,"
  Im sure this was a great phone but I didnt open it up. My company replaced my old phone so I didnt need this one
"
3.0 out of 5 stars,"
  The item came exactly as describes so there is no complaints! The battery life span was at 92% when it came so hopefully that’s good. Everything is working great! The phone is in good condition with no flaws. However, it doesn’t have as long as a battery life as my old iPhone 7 does and it runs out of battery much quicker. BUT that may just be the iPhone x itself and it is as expected since it’s more complicated than the iPhone 7 so it may need to use up more battery life. I don’t really know. But other than that the phone is really good and I would definitely recommend this seller.
"
5.0 out of 5 stars,"
  I love iPhone. I love this iPhone. However, the screen had 2 very minor scratches that my friend noticed on it. I couldn't even see them so I'm not upset about that. I AM upset that the phone was supposed to come with at least 80% of battery. Mine had 79%.  I did not return the phone because I had planned to replace the battery even at 80%, which cost me $50. It's just disturbing to buy from someone who promises to follow the Premium policy and simply does not. Other than that, the phone is working well, and I love it. Maybe try buying from a different seller.
"
5.0 out of 5 stars,"
  As soon as the product arrived I tested it and see what went wrong, I am surprise but also disappointed in the same time. So here are my pros and cons about the item;"
5.0 out of 5 stars, Pros :
4.0 out of 5 stars,"What I love the most about it is the touch screen, I was very surprise how the touch screen works perfectly smooth, the battery life is great and the screen so crispy clear."
2.0 out of 5 stars,Cons :
2.0 out of 5 stars,"Since the seller didn't provide the real picture of the item so It's very disappointing to find out that there are tiny scratches around the camera as you can see from the picture 2. It is not noticeable but it's not acceptable for me. Also it's not fully unlocked. Why ? Because I tested to make a phone call using my SIM card (Total wireless) it seems to work with LTE, however the internal speaker is very deep as in the other voice of the person I was talking to is very far although it's already on the highest volume."
5.0 out of 5 stars,"Then me and my husband tried to use his phone to call my number, but unfortunately it didn't work, so I thought maybe we have to be a little bit further, then he went outside while I'm inside calling using his phone."
5.0 out of 5 stars,"But again it didn't receive anything. As you can see on pic 1, it went to a voicemail meanwhile the iPhone didn't show anything. But I didn't take a pic of this iPhone received the voicemail notification on inbox."
5.0 out of 5 stars,However I didn't try using speaker or headset so I have no clue about that.
3.0 out of 5 stars,"ALSO, the most annoying thing is that I tried to call their customer service and  I spoke to one of them over the phone regarding my issue but she didn't bother to ask what would be the issue about the item etc instead she refused to help me create a shipping pick up label for UPS and persistently saying that they only provide UPS label for drop off. As I explained my situation that we do have stay home order but she only saying that I can request pick up service and other shipping services but it'll be in my cost, she was also mentioned that I can return the item when the stay home order is over, which I don't know when. Then again she refused to help me to create the shipping label for UPS pick up. In the end she hangs up the phone on my face. When I report it to the seller via message box the other customer service completely ignore my concern."
4.3 out of 5 stars,"
  Please read before buying: My phone has been holding up great after a month of using it. Only problem is my phone was made for the Japanese/Chinese market and my camera shutter sound won’t turn off. Other than that... Battery is great, face ID is amazing, but after reading a lot of the reviews I’d say that I wouldn’t recommend buying from this seller. They are difficult to contact and if you have any problems they seem to turn you away and blame the buyer. Yes, it’s a good deal considering this phone was originally sold at $1000, but i’ve read reviews that the phone was locked because of the difference in country, it was originally stolen or the phone plan hasn’t been entirely paid off. Also, their “refurbishments” aren’t really refurbishments. Again, I feel like I got extremely lucky with my phone. There’s only one problem that really isn’t that big of a problem. But please, if you really want a good quality phone for around this price, check with your carrier and see if they have some discounted phones or refurbished phones that are actually refurbished. Better safe than scammed.
"
5.0 out of 5 stars,"
  This phone was a Christmas gift for my daughter.  It arrived on time neatly packaged.  The phone looks brand new, she absolutely loves it, and everything works perfectly.  Thank you!
"
1.0 out of 5 stars,"
  My wife and I have been looking for new iPhones, but didn't want to live with another two year contract with Verizon, So I looked around for used/renewed iPhone X's and found this seller. Buying a renewed iPhone so far is the way to go. No two year contracts with cellular provider and a practically a new iPhone with lots of memory. I would at this high recommend this company for purchasing renewed iPhone X.
"
3.0 out of 5 stars,"
  Fast shipping, which I appreciated. I know this is a refurbished phone, but not impressed that the max battery capacity available is only 87%. I’ve had other refurbished phones with much better battery capacities.
"
5.0 out of 5 stars,"
  It came in a plain white box with a functional charger (not original) and no headphones. The phone was covered with a clear plastic and had really minor scuffs (barely noticeable, I used a bright white light to search for scratches) at the base of the phone around the speaker and charging port. I would describe the appearance as excellent."
5.0 out of 5 stars,"No issues with setup. I tested camera, video call, video recording, phone call, touch screen and Bluetooth connectivity to fitbit, speakers and car. Everything worked fine. Works like a new phone. Battery health is at 84% (I wish it was over 95%) but it works much better than my old iPhone and I'll replace the battery in time if it does not hold charge. It got a bit hot while using it which I'll assume had to do with the phone consuming a lot of data from the installation and setup process."
5.0 out of 5 stars,This phone was purchased for use in Trinidad & Tobago on bmobile network. It connected easily without an issues therefore the phone is unlocked as stated. This was my first 24 hours with the phone and I'm very pleased with this renewed purchase. Synergy was the only seller that I found with little negative reviews and I am glad and feel relief that I chose this seller.
5.0 out of 5 stars,"If there are any issues within the next few weeks, I'll update this review."
5.0 out of 5 stars,"Update April 2020: With regular FaceTime use I realised that that is a minor flaw with the camera. The screen has intermittent black flashes that last for a second. I've noticed it and the person on the other end of the call noticed it. Other than that, the phone works as described.
"
5.0 out of 5 stars,"
  I’m not going to lie, reading the reviews i was really sketched. To me it seemed like there was a 50/50 chance you could get a bad phone. But I can only speak for me personally and it’s an almost perfect phone that I recieved. Not a single scratch and even came with the glass screen protector on there. The battery was at 91% which I wasn’t fond of but if that’s all that’s wrong with it, I’ll take it for the price. But I went in with the mindset that if I get a bad one, I can just keep sending it back till I get a good one, but the one I got is almost flawless. I love the phone. So don’t pay attention to the reviews, it’s a great phone and hey, if you get one that’s not in great condition, Amazon is great at returns. (I’m actually writing this review from the new phone now.)
"
5.0 out of 5 stars,"
  Great product and service
"
5.0 out of 5 stars,"
  As shown. Love it
"
5.0 out of 5 stars,"
  Gosh dang do I love my iPhone, this is coming from a previous Samsung user who was DEDICATED  to Samsung prior. And would scoff anyone who dare say Apple was better. But a lot has changed since the iPhone 4, and I love the fact that I don’t have to have a huge phone to have a nice phone screen! I got this item on time, a little disappointed that the phone was a bit dirty, had a screen protector installed (but dirty) and slight scratches on the screen and back glass. Battery life says 89% which is a turd ton better than some of the reviews on here. Spoke with the seller and they are very quick to respond, would purchase again
"
1.0 out of 5 stars,"
  On September 9, 2020 I purchased an Apple iPhone X 64 GB factory unlocked smartphone. The price for this unit was $429.99. I was able to transfer the contents of my iPhone 6 to the iPhone X. The iPhone X worked for approximately a week, and then I went into a black screen mode. I Googled repairs and then contacted the Apple site to see about making the black screen go away. Nothing worked! I finally took the phone to my Apple Store in the Mall of New Hampshire in Manchester New Hampshire and the technician took the phone into the back room. The technician came back and informed me that the phone worked but the display did not. The display was aftermarket, not an Apple product. But for an additional $270+ I could have an Apple display installed. No thank you!!! I’ll return the phone to Amazon. The Apple technician stripped the iPhone X of all information and returned it to its original new in the box state."
4.3 out of 5 stars,"
  Ive read a few bad reviews on this one but this phone not only came in fast (I ordered it Jan 15 and it came in the 18th) but there were no scratches at all and the phone turned right on! No malfunctions of any kind, so far. The only thing I noticed is that the battery won’t fully charge.
"
5.0 out of 5 stars,"
  This product (Apple iPhone X from MobileSpree) seems to deliver as promised from user reviews. Following additional user reviews from YouTube, the device appears to still be installed with an Apple Certified OLED screen and I was unable to observe any screen burn-in. I am a little disappointed that iOs software indicates Battery Health is at 84% Maximum Capacity, but this still meets the promise from Amazon Refurbished devices of being at least >80%. I did not see any blemishes or scratches; thought the device had a polished screen, I noticed a little grime (probably oil residue from hands of previous owner) along the power and volume buttons."
1.0 out of 5 stars,"Overall, I am currently satisfied with device. I will, however, still purchase a 2- or 3-year warranty to cover the device.
"
5.0 out of 5 stars,"
  I got this thinking it would be just like in the description..there is nothing that infuriates me more than receiving a product like a phone that has some generic battery from China that heats up within 2 minutes of opening an app that really upsets me. I contacted the seller and they said I could send it back, well I dont have time for that , stuck done here in quarantine without another phone and things to take care of I am stuck with this cheap crappy phone. Not cool. Buyer beware this battery drains faster than it takes to heat a bag of popcorn.
"
5.0 out of 5 stars,"
  I bought this for my Wife for her birthday in January to replace her iPhone 7. Neither she or I are tech nerds and couldn’t care less about having the latest and greatest when it comes to phones. We both have used the iPhone platform for at least a decade, so naturally, we stick with it due to the familiarity with the operation and use of these Apple products."
2.0 out of 5 stars,"I was a little worried about when reading reviews as some people loved this product and others complained about scratches and imperfections. The one I received was flawless. I didn’t see a single scratch or blemish on it. The battery was dead when it arrived, but quickly fired up after being charged for a few minutes."
5.0 out of 5 stars,"The battery life seems fine, even though the battery life feature says that it had a max of 86%. My wife hasn’t had an issue at all with it draining in an inordinately fast manner and she used it a lot."
3.0 out of 5 stars,She especially likes the privacy feature in which the screen isn’t visible to others from the side.
1.0 out of 5 stars,"Since she and I both aren’t keen on the facial recognition feature that replaced the Finger ID on this phone, she just uses the 6 digit passcode to unlock. It was slightly annoying at first, but not an issue considering that’s how it used to be in the “old” days of iPhones anyway."
1.0 out of 5 stars,"This phone does everything my wife wants it to do and arrived in absolutely pristine condition. The box is generic, there are no ear buds with it and the lightning cable and block are also generic. None of these make any difference to her since she has Bluetooth ear buds already and we have about a dozen blocks and cables already. The seller made it clear what would come with the phone, so we were already okay with that."
5.0 out of 5 stars,"All in all, this was a great value. I think my total was right around $400 for a significant upgrade to her iPhone 7 and she was super happy.
"
1.0 out of 5 stars,"
  The reason I am writing a review is because although the entire phone looks perfect and there is not many issues, the speaker on normal calls sound is very muffled. I'm too scared to return bc everything else is good shape and I cant speak for issues a different one could have.
"
5.0 out of 5 stars,"
  1. Has notable scratches on the back and the sides. Infact a sticker on the box says ""bad back and body"" !!. 2. Battery health is at 93% which is not great but ok I guess.However while charging touch screen goes nuts and can't use the touch screen properly ! And also if i try to use the phone while charging the battery level drops (while charging) as well ! Hence i'm pretty sure this has a bad battery.3 The charging cable / charger I got with the device is not from apple and the cable doesn't even work.. 4 The phone gets super hot within like 5 mins after light use... Overall I'd say not to purchase this. It's not worth the money and it's not ""refurbished"" for sure.. These are used devices with defects
"
5.0 out of 5 stars,"
  I like my used iPhone X , I just love everything about my iPhone X , I got not bad reviews about it at all , I have been using it for a month and I have not had any issues with it, I would recommend buying from this seller because I bought something used but it’s working 100 percent and looks like new !
"
4.3 out of 5 stars,"
  Estuve leyendo las opiniones de quienes habian comprado antes  este teléfono, y no me convencia, pero lo decidi y estoy muy satisfecho con la compra. Llego dos dias antes de lo anunciado por paqueteria. En muy buenas condiciones, la bateria con 98% vida util sin un solo rasguño, como nuevo, funciona muy bien y lo estoy usando en mexico con la compañia telcel, hasta ahorita todo funciona bien lo tengo desde hace 7 dias.
"
5.0 out of 5 stars,"
  I love this phone, it came in almost new condition, other than a tiny scratch on the back of the phone that’s barely noticeable and the battery has 86% capacity which isn’t the best but even so it gets me by, would definitely and already have recommended this seller!"
1.0 out of 5 stars,"Edit: don't buy this, it just got worse over the 3 months I had it, first the screen had bad ghost touch, then, in annoyance from the screen not working right I threw it, which shattered the back, and when I got a screen replacement, it messed up the face id sensor. If you want it, spend the extra money and get it apple refurbished where they replace the screen, casing and battery.
"
4.0 out of 5 stars,"
  Lovable"
1.0 out of 5 stars,"5 stars. Works perfect 🙏😁
"
5.0 out of 5 stars,"
  Just received on Friday and so far so good!! I’m writing my review from the phone now. Set up was seamless and easy. Fingers crossed that everything will continue on this path 🤞🏼.
"
5.0 out of 5 stars,"
  I was very hesitant to buy a refurbished IPhone, because of the satisfactory reviews; however, I am truly amazed at its quality. There are little to no scratches on the phone, and it has no cracks. The battery life is pretty good, at a an 87%. I highly recommend buying from this seller.
"
5.0 out of 5 stars,"
   Overall Review"
5.0 out of 5 stars,———————-
5.0 out of 5 stars,10/10 Heres why.
5.0 out of 5 stars,"I actually returned A iPhone X 256G space grey phone because I ordered the wrong color. I benchmarked it and the silicone is healthy, no physical markings on the outside, charger port is stiff. Speaker holes clean."
5.0 out of 5 stars,the only down side is the max knit is lower then a OEM screen (I can confirm all phones ship with this screen for the most part since I have test two phones from this 3rd party)
1.0 out of 5 stars,- For those not tech savvy.
4.0 out of 5 stars,I can honestly say any product from this person/company is reliable with battery max life sitting around 84%-92%(varies in which phone you get)  which for the price is bang for buck.
4.3 out of 5 stars,"
  UPDATE:  I just realized that the ear speaker isn't working properly. I had been using on speaker only, but when I tried to listen with the phone to my ear, it was distorted and could only be understood at a very low volume level."
5.0 out of 5 stars,"The rest of the phone is great and I don't want to start over with a return.  I just wish the ear speaker worked right.  FYI, I tried to troubleshoot the issue and I did make some software changes - Accessibility/hearing aid - as was directed, but in my case it didn't make it any better."
1.0 out of 5 stars,"FIRST COMMENT: This phone was exactly as described, in great condition, works perfectly and was delivered promptly.  Overall, very pleased so far!  Only had the phone for a few days.
"
4.0 out of 5 stars,"
  Worst experience...do not buy! Four months after purchasing, apps started freezing and every time we attempted to make a call, the phone would reboot and the call would drop.  Contacted Amazon and they contacted the 3rd party vendor (Kiss Electronics) and it went no where since they only back the phone for 3 months.  Spent hours with Apple support and we did a factory reset which was unsuccessful in fixing the problem.  They also did a remote diagnostic check and found no issues?  They said, I could ship the phone to them to have their technicians work on the phone, but the estimate cost for that service was $918...who would ever spend that?  I conclude this ""Kiss Electronics"" knows they are selling garbage and Apple does not want you to fix phones as they would rather see you elect to trade in for a more expensive option.  I guess this is a $400+ lesson to not buy a ""renewed"" phone ever again through Amazon!
"
1.0 out of 5 stars,"
  I've never written a review for anything but I had to this one time to make sure others don't go through what I go through on a daily basis. From the moment I turned it on, sometimes the screen wouldn't light up but it would still react to touch. It would only unlock on the first try maybe 30% of the time. Few months later the touch screen isn't working while still not lighting up on the first try of trying to unlock it. I bought this phone a month before the pandemic started and I work at a grocery store and I'm also a college student so I didn't have the time and also couldn't risk going without a phone for however long it would take them to send me a new one. And when I did make an effort early on to return it they were very unclear and broad about their instructions. Also the calling line did not even work. I would not risk buying one of these phones from this company again, horrible phone that gives me problems every hour of the day and cost me so much inconvenience and horrible customer service. Do not buy from them.
"
1.0 out of 5 stars,"
  I don't often review Amazon purchases, but I'm going to make an exception in this case..."
5.0 out of 5 stars,"The phone arrived 3 days ahead of it's earliest predicted arrival date, was 96% charged upon arrival, and appeared to be completely unblemished in any way.  In fact, the only way I could discern it from a brand new phone was that the battery health was at 86% which was entirely acceptable. The new aftermarket usb adapter and lightening cord were included in the box and, as a pleasant surprise, there was even a new screen protector installed on the phone as well as a new basic slip on phone case included which I hadn't expected to receive."
2.0 out of 5 stars,"The phone was unlocked, and went through the startup and initialization procedure which one would expect of a new iphone.  It worked seamlessly with my old sim, and did an awesome job of migrating my settings and data over from my old i6.  The data and hotspot speeds crushed those of the old i6 which I replacing."
5.0 out of 5 stars,"I could not be happier with this purchase!
"
1.0 out of 5 stars,"
  Disappointed in this iPhone 11. Phone arrived in fairly good condition albeit very, very dirty on the inside of the connector port and speaker holes. Had to clean them out with a q-tip which was kinda gross. Screen had some imperfections. No sticker was apparent even though the reviews stated there was one. I probably wouldn’t pay for this again. Returning.
"
5.0 out of 5 stars,"
  Phone was in Pristine condition. Phone worked as expected. This is absolutely a REAL IPHONE X. This is NOT A FAKE. It does not come in a apple box, however it did come with a screen protector and a black silicone case. There was no charger as explained in the description. I only returned it due to it being a little to small of a screen compared to the one my husband has now which is the iphone 7plus. If it would have been for myself I would have absolutely kept it. Picture was amazing, fast as heck too. So I HIGHLY recommend this seller and am willing to say they are trustworthy devices. Seller also replied in a timely manner to answer my question in reference to possibly exchanging it.
"
5.0 out of 5 stars,"
  I really feel scammed-cheated. The phone display was replaced and not for an Original apple display, instead they use a cheap one and the display looks not so bright, FaceID option doesn't work and selfie camera take blurred photos. I will ask immediatily for a refund.
"
5.0 out of 5 stars,"
  I bought two of these phones one came with 100% battery life and the other one came with 95% battery. Everything on the phone looks new. Hardly no scratches at all. The one phone came almost dead and the other with a little less then half charged. And on the one phone it looks like there is a screen protector on it but it’s just the screen raised for what ever reason it’s not coming off it just looks like it has a thick glass screen on it. But other then that these two phones seem really nice for being refurbished phones.
"
4.3 out of 5 stars,"
  This iPhone X works just the way it was created; all features are available to me with the AT&T network compatibility.  Next time I would get an unlocked compatible with all carriers, GSM, but this is no problem for me right now.  As an Android user all my life I decided to join the crowd and have a phone easy to use.  I was quarantining so i had 6 days of YouTube and apple online docs to teach myself how to use and the tricks to make it more efficient.  I am very happy that i got this phone....as I always say: all vehicles (except electric) shift - what's the great thing about doing it manually!? I recommend this phone highly.
"
5.0 out of 5 stars,"
  This phone is so suitable for what I needed in a phone—really long battery life, more security with Face ID, and a decent amount of storage. But one issue has plagued my phone: the touch screen. I’m not sure what it may be (an almost invisible imperfection on the screen or a hardware problem are probably the two most likely suspects), but my screen tends to glitch the hell out on me from time to time."
1.0 out of 5 stars,"Sometimes it’s when my phone is starting to warm up, sometimes it’s when I’m on low battery, and sometimes it’s at totally random times. The glitches mainly affect the very bottom of my screen, either making it impossible for me to swipe up to change apps or unlock my phone, or constantly wiggling around my whole screen without me touching it; additionally often clicking on things I never clicked on. It’s so infuriating that I’ve brought my rating down to a 2."
5.0 out of 5 stars,"Surely this isn’t an issue for anyone else, right? Because I’ve looked this up extensively and seemingly I’m one of very few people having this issue at all. Hell, not a single person who bought from this seller here on Amazon has had the same issue as me from what I’ve seen! I’m glad that there are some people out there who know this issue exists and they have solutions to them, but I can’t solve the issue I’m having with my own phone because of accessibility issues when it comes to certain tools or computer programs to fix the issue."
2.0 out of 5 stars,"Lesson of the day: don’t buy a used phone from Amazon. I was let down for the first time with my old 6s, and now I’ve been let down for the second (and last) time with my X. If you’re gonna get a used phone, just hope your friend or one of your family members is getting a new phone, or just buy a new phone if you’re getting impatient waiting for that lucky day of yours to come.
"
3.0 out of 5 stars,"
  The phone came without blemish.  Everything looks great and the storage is eligible.  The screen looks good however, there is a device wide fault to these models which causes ghost texting.  It will take over your phone and become very frustrating trying to use or even place a call.  I contacted Apple Care to fix the problem as I saw it was common for this device.  I was told because this retailer is not an authorized Apple retailer that I would have to pay for the repair.  I would suggest that you purchase from an authorized dealer.  The warranty plan with this phone only says for accidents and not defects.
"
4.0 out of 5 stars,"
  The only reason it’s gets a 4 and 3 for battery life is because the battery says it’s at 92% which is good, but it still dies rather quickly and I wish it would at least have a 20% charge by the end of the day, but it’s been dying before the sun goes down.. a little disappointed there. The hardware is great, the screen is a beautiful, thanks to Apples collaboration with Samsung, and even with the couple scratches on the screen (I hardly ever notice them) the phone itself is WELL worth the buy maybe not such a high price would have like it lower for the buy but all around a great phone from Apple.
"
